timestamp,name,symbol,price_usd,high,low,chg_,chg_%,vol_,time
2025-10-14 17:00:29,Home Depot,,381.76,381.89,378.01,2.39,0.63,204560.0,9:58:41
2025-10-14 17:00:29,Honeywell,,202.43,202.44,201.35,-0.48,-0.24,255910.0,9:59:30
2025-10-14 17:00:29,IBM,,275.08,276.19,272.55,-2.13,-0.77,484390.0,9:59:43
2025-10-14 17:00:29,J&amp;J,,187.5,194.39,186.92,-3.4,-1.78,2630000.0,9:59:02
2025-10-14 17:00:29,JPMorgan,,294.92,306.74,294.21,-13.05,-4.24,3710000.0,9:59:56
2025-10-14 17:00:29,Cisco,,67.45,67.5,66.81,-0.01,-0.01,1560000.0,9:58:54
2025-10-14 17:00:29,McDonald’s,,303.05,303.33,300.11,2.94,0.98,330760.0,9:59:46
2025-10-14 17:00:29,Apple,AAPL,246.22,247.14,244.7,-1.44,-0.58,4480000.0,9:59:33
2025-10-14 17:00:29,Merck&amp;Co,,85.61,85.68,84.52,-0.09,-0.11,849550.0,9:59:51
2025-10-14 17:00:29,Amgen,AMGN,292.79,293.31,290.97,0.38,0.13,118440.0,9:59:24
2025-10-14 17:00:29,American Express,,327.39,327.39,320.5,4.27,1.32,293090.0,9:59:56
2025-10-14 17:00:29,NVIDIA,NVDA,181.2,184.8,179.7,-7.12,-3.78,43320000.0,9:59:57
2025-10-14 17:00:29,Nike,NKE,66.59,66.68,66.06,-0.79,-1.17,1120000.0,9:59:42
2025-10-14 17:00:29,P&amp;G,,147.88,148.37,147.27,0.39,0.26,684720.0,9:59:44
2025-10-14 17:00:29,Salesforce Inc,,243.74,248.28,241.01,-5.01,-2.01,1730000.0,9:59:59
2025-10-14 17:00:29,Sherwin-Williams,,333.47,333.74,329.25,1.31,0.39,324180.0,10:00:13
2025-10-14 17:00:29,Travelers,,273.83,273.88,270.86,3.46,1.28,77050.0,10:00:09
2025-10-14 17:00:29,UnitedHealth,,357.34,357.99,353.4,-1.32,-0.37,1140000.0,9:59:00
2025-10-14 17:00:29,Verizon,,40.03,40.06,39.76,0.28,0.72,2820000.0,9:59:06
2025-10-14 17:00:29,Visa A,,348.2,348.29,340.25,4.89,1.43,575290.0,9:59:53
2025-10-14 17:00:29,Walmart,WMT,103.95,104.25,102.91,1.83,1.79,4360000.0,9:59:36
2025-10-14 17:00:29,Amazon.com,AMZN,215.05,215.58,212.6,-5.02,-2.28,10980000.0,9:59:47
2025-10-14 17:00:29,Chevron,CVX,151.56,151.63,149.66,-0.38,-0.25,436640.0,10:00:00
2025-10-14 17:00:29,Microsoft,MSFT,509.89,510.0,506.0,-4.16,-0.81,2470000.0,10:00:01
2025-10-14 17:00:29,Boeing,,214.37,214.42,212.24,-1.19,-0.55,681710.0,9:59:58
2025-10-14 17:00:29,Citigroup,C,95.34,97.54,95.04,-0.76,-0.79,4080000.0,9:59:59
2025-10-14 17:00:29,3M,,151.91,151.96,149.28,0.81,0.54,257320.0,9:59:31
2025-10-14 17:00:29,Walt Disney,,110.58,110.6,109.2,0.31,0.28,943840.0,9:59:42
2025-10-14 16:30:06,P&amp;G,,147.49,149.43,146.97,-2.2,-1.47,7510000.0,13/10
2025-10-14 16:30:06,3M,,151.1,152.43,150.42,2.35,1.58,2720000.0,13/10
2025-10-14 16:30:06,NVIDIA,NVDA,188.32,190.11,185.96,5.16,2.82,153480000.0,13/10
2025-10-14 16:30:06,J&amp;J,,190.9,191.3,189.28,0.18,0.09,7980000.0,13/10
2025-10-14 16:30:06,Honeywell,,202.91,203.24,200.61,2.0,1.00,3720000.0,13/10
2025-10-14 16:30:06,Boeing,,215.56,215.8,212.06,4.83,2.29,5660000.0,13/10
2025-10-14 16:30:06,Amazon.com,AMZN,220.07,220.68,217.04,3.7,1.71,37810000.0,13/10
2025-10-14 16:30:06,Salesforce Inc,,248.75,249.35,242.37,7.07,2.93,8279999.999999999,13/10
2025-10-14 16:30:06,Apple,AAPL,247.66,249.69,245.56,2.39,0.97,38140000.0,13/10
2025-10-14 16:30:06,Travelers,,270.38,272.35,266.47,0.26,0.10,854340.0,13/10
2025-10-14 16:30:06,IBM,,277.22,282.44,274.64,-0.6,-0.22,4330000.0,13/10
2025-10-14 16:30:06,Amgen,AMGN,292.4,296.13,289.44,2.27,0.78,1840000.0,13/10
2025-10-14 16:30:06,McDonald’s,,300.11,300.42,294.0,3.1,1.04,3370000.0,13/10
2025-10-14 16:30:06,JPMorgan,,307.97,309.46,305.45,7.08,2.35,10790000.0,13/10
2025-10-14 16:30:06,American Express,,323.12,324.36,319.06,6.86,2.17,1690000.0,13/10
2025-10-14 16:30:06,Sherwin-Williams,,332.16,333.98,329.45,-0.65,-0.20,1700000.0,13/10
2025-10-14 16:30:06,Visa A,,343.3,347.66,340.73,-0.35,-0.10,4030000.0000000005,13/10
2025-10-14 16:30:06,Walt Disney,,110.27,110.96,109.38,1.08,0.99,7440000.0,13/10
2025-10-14 16:30:06,UnitedHealth,,358.66,359.16,353.32,4.16,1.17,5660000.0,13/10
2025-10-14 16:30:06,Home Depot,,379.37,382.31,377.19,3.62,0.96,2930000.0,13/10
2025-10-14 16:30:06,Verizon,,39.75,40.16,39.41,-0.1,-0.25,26450000.0,13/10
2025-10-14 16:30:06,Caterpillar,CAT,504.76,506.38,495.45,13.46,2.74,2620000.0,13/10
2025-10-14 16:30:06,Microsoft,MSFT,514.05,516.41,511.68,3.09,0.60,14280000.0,13/10
2025-10-14 16:30:06,Coca-Cola,,66.8,66.8,66.0,-0.24,-0.36,13690000.0,13/10
2025-10-14 16:30:06,Walmart,WMT,102.12,102.45,101.07,0.28,0.27,10870000.0,13/10
2025-10-14 16:30:06,Nike,NKE,67.38,67.52,65.55,2.16,3.31,13190000.0,13/10
2025-10-14 16:30:06,Cisco,,67.46,68.89,67.13,-0.48,-0.71,14130000.0,13/10
2025-10-14 16:30:06,Goldman Sachs,,786.78,791.05,777.88,22.42,2.93,2770000.0,13/10
2025-10-14 16:30:06,Merck&amp;Co,,85.7,86.46,85.24,-0.29,-0.34,6550000.0,13/10
2025-10-14 16:30:06,Citigroup,C,96.1,96.96,95.41,2.17,2.31,18460000.0,13/10
2025-10-14 16:30:06,Chevron,CVX,151.94,151.98,149.43,3.04,2.04,5980000.0,13/10
2025-10-14 16:00:03,3M,,151.1,152.43,150.42,2.35,1.58,2720000.0,13/10
2025-10-14 16:00:03,Salesforce Inc,,248.75,249.35,242.37,7.07,2.93,8279999.999999999,13/10
2025-10-14 16:00:03,UnitedHealth,,358.66,359.16,353.32,4.16,1.17,5660000.0,13/10
2025-10-14 16:00:03,P&amp;G,,147.49,149.43,146.97,-2.2,-1.47,7510000.0,13/10
2025-10-14 16:00:03,Amazon.com,AMZN,220.07,220.68,217.04,3.7,1.71,37810000.0,13/10
2025-10-14 16:00:03,Walt Disney,,110.27,110.96,109.38,1.08,0.99,7440000.0,13/10
2025-10-14 16:00:03,American Express,,323.12,324.36,319.06,6.86,2.17,1690000.0,13/10
2025-10-14 16:00:03,Amgen,AMGN,292.4,296.13,289.44,2.27,0.78,1840000.0,13/10
2025-10-14 16:00:03,Apple,AAPL,247.66,249.69,245.56,2.39,0.97,38140000.0,13/10
2025-10-14 16:00:03,Boeing,,215.56,215.8,212.06,4.83,2.29,5660000.0,13/10
2025-10-14 16:00:03,Caterpillar,CAT,504.76,506.38,495.45,13.46,2.74,2620000.0,13/10
2025-10-14 16:00:03,Chevron,CVX,151.94,151.98,149.43,3.04,2.04,5980000.0,13/10
2025-10-14 16:00:03,Cisco,,67.46,68.89,67.13,-0.48,-0.71,14130000.0,13/10
